game,battle_name,num_of_games,agent1_name,round_number,agent1_mean_action_duration_sum,agent1_mean_accumulated_reward_sum,agent2_name,agent2_mean_action_duration_sum,agent2_mean_accumulated_reward_sum,mean_run_duration
TicTacToe,Random_VS_DeepQLearning,1000,Random,0,5.888938903808594e-05,0.0,DeepQLearning,1.9778821468353271,-1.0,1.9779410362243652
TicTacToe,Random_VS_DeepQLearning,1000,Random,10,3.7670135498046875e-05,1.0,DeepQLearning,0.012243986129760742,-6.0,2.1388773918151855
TicTacToe,Random_VS_DeepQLearning,1000,Random,20,3.314018249511719e-05,8.0,DeepQLearning,0.010571718215942383,-8.0,2.2521352767944336
TicTacToe,Random_VS_DeepQLearning,1000,Random,30,3.790855407714844e-05,13.0,DeepQLearning,0.014535903930664062,-12.0,2.3723082542419434
TicTacToe,Random_VS_DeepQLearning,1000,Random,40,2.574920654296875e-05,20.0,DeepQLearning,0.0079345703125,-13.0,2.5025525093078613
TicTacToe,Random_VS_DeepQLearning,1000,Random,50,4.6253204345703125e-05,24.0,DeepQLearning,0.014375925064086914,-17.0,2.6241300106048584
TicTacToe,Random_VS_DeepQLearning,1000,Random,60,2.384185791015625e-05,31.0,DeepQLearning,0.007125139236450195,-20.0,2.736722707748413
TicTacToe,Random_VS_DeepQLearning,1000,Random,70,2.4557113647460938e-05,37.0,DeepQLearning,0.007158041000366211,-24.0,2.853072166442871
TicTacToe,Random_VS_DeepQLearning,1000,Random,80,2.574920654296875e-05,43.0,DeepQLearning,0.004740715026855469,-27.0,2.9595143795013428
TicTacToe,Random_VS_DeepQLearning,1000,Random,90,2.5987625122070312e-05,46.0,DeepQLearning,0.010690450668334961,-33.0,3.064873695373535
TicTacToe,Random_VS_DeepQLearning,1000,Random,100,4.649162292480469e-05,51.0,DeepQLearning,0.011310338973999023,-37.0,3.189284324645996
TicTacToe,Random_VS_DeepQLearning,1000,Random,110,2.5033950805664062e-05,57.0,DeepQLearning,0.007304668426513672,-40.0,3.3018040657043457
TicTacToe,Random_VS_DeepQLearning,1000,Random,120,4.601478576660156e-05,61.0,DeepQLearning,0.011778593063354492,-45.0,3.424839496612549
TicTacToe,Random_VS_DeepQLearning,1000,Random,130,3.695487976074219e-05,69.0,DeepQLearning,0.008124828338623047,-47.0,3.52390456199646
TicTacToe,Random_VS_DeepQLearning,1000,Random,140,4.291534423828125e-05,74.0,DeepQLearning,0.014776945114135742,-51.0,3.6437788009643555
TicTacToe,Random_VS_DeepQLearning,1000,Random,150,3.5762786865234375e-05,78.0,DeepQLearning,0.008502960205078125,-56.0,3.7611091136932373
TicTacToe,Random_VS_DeepQLearning,1000,Random,160,2.574920654296875e-05,81.0,DeepQLearning,0.009614944458007812,-61.0,3.881547689437866
TicTacToe,Random_VS_DeepQLearning,1000,Random,170,4.506111145019531e-05,86.0,DeepQLearning,0.012629508972167969,-65.0,4.003666639328003
TicTacToe,Random_VS_DeepQLearning,1000,Random,180,3.0994415283203125e-05,90.0,DeepQLearning,0.011353492736816406,-71.0,4.122900009155273
TicTacToe,Random_VS_DeepQLearning,1000,Random,190,3.2901763916015625e-05,93.0,DeepQLearning,0.009882926940917969,-77.0,4.251929998397827
TicTacToe,Random_VS_DeepQLearning,1000,Random,200,3.552436828613281e-05,99.0,DeepQLearning,0.011116266250610352,-79.0,4.378569602966309
TicTacToe,Random_VS_DeepQLearning,1000,Random,210,3.504753112792969e-05,101.0,DeepQLearning,0.01188039779663086,-85.0,4.5084733963012695
TicTacToe,Random_VS_DeepQLearning,1000,Random,220,4.38690185546875e-05,105.0,DeepQLearning,0.011450529098510742,-91.0,4.614469051361084
TicTacToe,Random_VS_DeepQLearning,1000,Random,230,4.291534423828125e-05,109.0,DeepQLearning,0.014069080352783203,-96.0,4.720158576965332
TicTacToe,Random_VS_DeepQLearning,1000,Random,240,3.528594970703125e-05,114.0,DeepQLearning,0.010727405548095703,-99.0,4.834169626235962
TicTacToe,Random_VS_DeepQLearning,1000,Random,250,4.506111145019531e-05,118.0,DeepQLearning,0.011690855026245117,-104.0,4.944811582565308
TicTacToe,Random_VS_DeepQLearning,1000,Random,260,3.981590270996094e-05,123.0,DeepQLearning,0.011696100234985352,-109.0,5.065845489501953
TicTacToe,Random_VS_DeepQLearning,1000,Random,270,3.361701965332031e-05,129.0,DeepQLearning,0.01086878776550293,-112.0,5.183706045150757
TicTacToe,Random_VS_DeepQLearning,1000,Random,280,3.4809112548828125e-05,134.0,DeepQLearning,0.011749029159545898,-117.0,5.310922622680664
TicTacToe,Random_VS_DeepQLearning,1000,Random,290,3.504753112792969e-05,138.0,DeepQLearning,0.011729001998901367,-122.0,5.432199239730835
TicTacToe,Random_VS_DeepQLearning,1000,Random,300,3.457069396972656e-05,141.0,DeepQLearning,0.014034271240234375,-128.0,5.549709796905518
TicTacToe,Random_VS_DeepQLearning,1000,Random,310,4.57763671875e-05,145.0,DeepQLearning,0.013870954513549805,-133.0,5.663869619369507
TicTacToe,Random_VS_DeepQLearning,1000,Random,320,3.7670135498046875e-05,150.0,DeepQLearning,0.008365154266357422,-138.0,5.776569843292236
TicTacToe,Random_VS_DeepQLearning,1000,Random,330,5.507469177246094e-05,157.0,DeepQLearning,0.011935710906982422,-141.0,5.904651165008545
TicTacToe,Random_VS_DeepQLearning,1000,Random,340,3.6716461181640625e-05,162.0,DeepQLearning,0.008359193801879883,-145.0,6.047298192977905
TicTacToe,Random_VS_DeepQLearning,1000,Random,350,4.0531158447265625e-05,167.0,DeepQLearning,0.014410018920898438,-147.0,6.171828031539917
TicTacToe,Random_VS_DeepQLearning,1000,Random,360,3.743171691894531e-05,170.0,DeepQLearning,0.008478879928588867,-153.0,6.284534692764282
TicTacToe,Random_VS_DeepQLearning,1000,Random,370,2.8133392333984375e-05,173.0,DeepQLearning,0.005338907241821289,-158.0,6.394933462142944
TicTacToe,Random_VS_DeepQLearning,1000,Random,380,2.7179718017578125e-05,179.0,DeepQLearning,0.010779857635498047,-161.0,6.508591175079346
TicTacToe,Random_VS_DeepQLearning,1000,Random,390,3.600120544433594e-05,185.0,DeepQLearning,0.007945060729980469,-165.0,6.627416372299194
TicTacToe,Random_VS_DeepQLearning,1000,Random,400,2.4557113647460938e-05,189.0,DeepQLearning,0.011114358901977539,-170.0,6.755515098571777
TicTacToe,Random_VS_DeepQLearning,1000,Random,410,3.314018249511719e-05,195.0,DeepQLearning,0.00484013557434082,-174.0,6.878053665161133
TicTacToe,Random_VS_DeepQLearning,1000,Random,420,4.2438507080078125e-05,201.0,DeepQLearning,0.008864879608154297,-177.0,7.003872632980347
TicTacToe,Random_VS_DeepQLearning,1000,Random,430,3.123283386230469e-05,207.0,DeepQLearning,0.011288881301879883,-178.0,7.126621961593628
TicTacToe,Random_VS_DeepQLearning,1000,Random,440,2.6941299438476562e-05,214.0,DeepQLearning,0.01102137565612793,-181.0,7.255373001098633
TicTacToe,Random_VS_DeepQLearning,1000,Random,450,4.8160552978515625e-05,215.0,DeepQLearning,0.011548519134521484,-188.0,7.364764928817749
TicTacToe,Random_VS_DeepQLearning,1000,Random,460,4.124641418457031e-05,220.0,DeepQLearning,0.014248132705688477,-191.0,7.486915826797485
TicTacToe,Random_VS_DeepQLearning,1000,Random,470,3.2901763916015625e-05,226.0,DeepQLearning,0.01496434211730957,-195.0,7.600788354873657
TicTacToe,Random_VS_DeepQLearning,1000,Random,480,2.5987625122070312e-05,231.0,DeepQLearning,0.004942893981933594,-199.0,7.7023913860321045
TicTacToe,Random_VS_DeepQLearning,1000,Random,490,3.3855438232421875e-05,236.0,DeepQLearning,0.014751434326171875,-203.0,7.823820352554321
TicTacToe,Random_VS_DeepQLearning,1000,Random,500,3.4332275390625e-05,240.0,DeepQLearning,0.01419377326965332,-209.0,7.926041603088379
TicTacToe,Random_VS_DeepQLearning,1000,Random,510,2.4318695068359375e-05,246.0,DeepQLearning,0.008368968963623047,-213.0,8.02496886253357
TicTacToe,Random_VS_DeepQLearning,1000,Random,520,2.2172927856445312e-05,251.0,DeepQLearning,0.010283946990966797,-218.0,8.128732204437256
TicTacToe,Random_VS_DeepQLearning,1000,Random,530,4.57763671875e-05,256.0,DeepQLearning,0.01182246208190918,-222.0,8.241458415985107
TicTacToe,Random_VS_DeepQLearning,1000,Random,540,4.8160552978515625e-05,260.0,DeepQLearning,0.011334896087646484,-228.0,8.34814453125
