game,battle_name,num_of_games,agent1_name,round_number,agent1_mean_action_duration_sum,agent1_mean_accumulated_reward_sum,agent2_name,agent2_mean_action_duration_sum,agent2_mean_accumulated_reward_sum,mean_run_duration
TicTacToe,Random_VS_Random,100000,Random,0,3.886222839355469e-05,0.0,Random,1.9073486328125e-05,-1.0,5.793571472167969e-05
TicTacToe,Random_VS_Random,100000,Random,1000,1.9311904907226562e-05,605.0,Random,2.1457672119140625e-05,-276.0,0.037698984146118164
TicTacToe,Random_VS_Random,100000,Random,2000,1.3113021850585938e-05,1219.0,Random,7.152557373046875e-06,-558.0,0.07141804695129395
TicTacToe,Random_VS_Random,100000,Random,3000,2.193450927734375e-05,1821.0,Random,1.6689300537109375e-05,-859.0,0.10499691963195801
TicTacToe,Random_VS_Random,100000,Random,4000,2.4557113647460938e-05,2417.0,Random,1.6450881958007812e-05,-1136.0,0.1415543556213379
TicTacToe,Random_VS_Random,100000,Random,5000,3.4332275390625e-05,2979.0,Random,2.5510787963867188e-05,-1458.0,0.18122601509094238
TicTacToe,Random_VS_Random,100000,Random,6000,2.9325485229492188e-05,3572.0,Random,3.075599670410156e-05,-1755.0,0.22079038619995117
TicTacToe,Random_VS_Random,100000,Random,7000,1.5974044799804688e-05,4147.0,Random,1.239776611328125e-05,-2056.0,0.2668418884277344
TicTacToe,Random_VS_Random,100000,Random,8000,1.6689300537109375e-05,4716.0,Random,1.1920928955078125e-05,-2345.0,0.3019697666168213
TicTacToe,Random_VS_Random,100000,Random,9000,2.2649765014648438e-05,5303.0,Random,1.5735626220703125e-05,-2647.0,0.33550310134887695
TicTacToe,Random_VS_Random,100000,Random,10000,2.193450927734375e-05,5873.0,Random,2.47955322265625e-05,-2954.0,0.37244653701782227
TicTacToe,Random_VS_Random,100000,Random,11000,1.5974044799804688e-05,6439.0,Random,1.5497207641601562e-05,-3273.0,0.4050121307373047
TicTacToe,Random_VS_Random,100000,Random,12000,2.4557113647460938e-05,7016.0,Random,1.8596649169921875e-05,-3554.0,0.4413471221923828
TicTacToe,Random_VS_Random,100000,Random,13000,2.002716064453125e-05,7612.0,Random,1.6689300537109375e-05,-3833.0,0.4757723808288574
