game,battle_name,num_of_games,agent1_name,round_number,agent1_mean_action_duration_sum,agent1_mean_accumulated_reward_sum,agent2_name,agent2_mean_action_duration_sum,agent2_mean_accumulated_reward_sum,mean_run_duration
TicTacToe,Random_VS_Random,10000,Random,0,3.9577484130859375e-05,1.0,Random,1.33514404296875e-05,0.0,5.2928924560546875e-05
TicTacToe,Random_VS_Random,10000,Random,100,1.71661376953125e-05,59.0,Random,1.5735626220703125e-05,-34.0,0.004389047622680664
TicTacToe,Random_VS_Random,10000,Random,200,2.7179718017578125e-05,117.0,Random,2.0503997802734375e-05,-64.0,0.008796930313110352
TicTacToe,Random_VS_Random,10000,Random,300,2.002716064453125e-05,183.0,Random,1.9311904907226562e-05,-86.0,0.012520790100097656
TicTacToe,Random_VS_Random,10000,Random,400,1.71661376953125e-05,240.0,Random,1.7881393432617188e-05,-114.0,0.0160520076751709
TicTacToe,Random_VS_Random,10000,Random,500,2.0742416381835938e-05,296.0,Random,1.7881393432617188e-05,-142.0,0.019519567489624023
TicTacToe,Random_VS_Random,10000,Random,600,1.6689300537109375e-05,362.0,Random,1.6927719116210938e-05,-166.0,0.023707866668701172
TicTacToe,Random_VS_Random,10000,Random,700,1.5735626220703125e-05,420.0,Random,1.6689300537109375e-05,-191.0,0.027251720428466797
TicTacToe,Random_VS_Random,10000,Random,800,1.0967254638671875e-05,477.0,Random,1.1920928955078125e-05,-223.0,0.030682802200317383
TicTacToe,Random_VS_Random,10000,Random,900,1.3113021850585938e-05,540.0,Random,7.867813110351562e-06,-248.0,0.03393983840942383
TicTacToe,Random_VS_Random,10000,Random,1000,1.3828277587890625e-05,598.0,Random,1.3113021850585938e-05,-277.0,0.03761601448059082
TicTacToe,Random_VS_Random,10000,Random,1100,1.239776611328125e-05,649.0,Random,1.239776611328125e-05,-314.0,0.041420698165893555
TicTacToe,Random_VS_Random,10000,Random,1200,2.0742416381835938e-05,709.0,Random,1.6927719116210938e-05,-344.0,0.04479336738586426
TicTacToe,Random_VS_Random,10000,Random,1300,3.337860107421875e-05,765.0,Random,2.9087066650390625e-05,-373.0,0.04859185218811035
TicTacToe,Random_VS_Random,10000,Random,1400,2.3603439331054688e-05,827.0,Random,1.9073486328125e-05,-400.0,0.05227303504943848
TicTacToe,Random_VS_Random,10000,Random,1500,2.193450927734375e-05,885.0,Random,1.7642974853515625e-05,-426.0,0.05591702461242676
TicTacToe,Random_VS_Random,10000,Random,1600,1.7642974853515625e-05,947.0,Random,1.2159347534179688e-05,-452.0,0.059255123138427734
TicTacToe,Random_VS_Random,10000,Random,1700,1.6927719116210938e-05,1006.0,Random,1.2874603271484375e-05,-479.0,0.06307029724121094
